Number of rows;time
16000000;2022-10-07T15:45:21.250066
16100000;2022-10-07T15:45:31.890426
16200000;2022-10-07T15:45:43.809994
16300000;2022-10-07T15:45:56.956471
16400000;2022-10-07T15:46:10.649212
16500000;2022-10-07T15:46:22.515345
16600000;2022-10-07T15:46:33.199495
16700000;2022-10-07T15:46:44.393297
16800000;2022-10-07T15:46:57.389033
16900000;2022-10-07T15:47:10.759806
17000000;2022-10-07T15:47:23.512150
17100000;2022-10-07T15:47:35.900378
17200000;2022-10-07T15:47:47.313323
17300000;2022-10-07T15:47:58.466573
17400000;2022-10-07T15:48:10.059255
17500000;2022-10-07T15:48:23.567615
17600000;2022-10-07T15:48:36.764987
17700000;2022-10-07T15:48:49.501780
17800000;2022-10-07T15:49:00.768933
17900000;2022-10-07T15:49:11.649992
18000000;2022-10-07T15:49:22.205196
18100000;2022-10-07T15:49:33.900602
18200000;2022-10-07T15:49:47.467216
18300000;2022-10-07T15:50:00.037913
18400000;2022-10-07T15:50:12.475014
18500000;2022-10-07T15:50:23.896204
18600000;2022-10-07T15:50:34.631831
18700000;2022-10-07T15:50:45.461455
18800000;2022-10-07T15:50:55.829903
18900000;2022-10-07T15:51:08.052034
19000000;2022-10-07T15:51:20.557167
19100000;2022-10-07T15:51:33.481128
19200000;2022-10-07T15:51:45.874169
19300000;2022-10-07T15:51:57.502886
19400000;2022-10-07T15:52:09.189041
19500000;2022-10-07T15:52:20.162075
19600000;2022-10-07T15:52:31.976966
19700000;2022-10-07T15:52:45.328700
19800000;2022-10-07T15:52:58.245561
19900000;2022-10-07T15:53:10.733856
20000000;2022-10-07T15:53:22.995931
20100000;2022-10-07T15:53:34.361699
20200000;2022-10-07T15:53:44.907359
20300000;2022-10-07T15:53:56.511428
20400000;2022-10-07T15:54:09.670397
20500000;2022-10-07T15:54:23.363469
20600000;2022-10-07T15:54:36.408493
20700000;2022-10-07T15:54:48.187500
20800000;2022-10-07T15:54:59.365668
20900000;2022-10-07T15:55:10.799858
21000000;2022-10-07T15:55:22.364188
21100000;2022-10-07T15:55:36.696673
21200000;2022-10-07T15:55:49.733118
21300000;2022-10-07T15:56:02.928914
21400000;2022-10-07T15:56:15.213325
21500000;2022-10-07T15:56:26.364546
21600000;2022-10-07T15:56:37.760625
21700000;2022-10-07T15:56:50.420026
21800000;2022-10-07T15:57:03.855698
21900000;2022-10-07T15:57:16.886307
22000000;2022-10-07T15:57:29.749757
22100000;2022-10-07T15:57:42.287575
22200000;2022-10-07T15:57:54.152952
22300000;2022-10-07T15:58:06.069688
22400000;2022-10-07T15:58:20.319918
22500000;2022-10-07T15:58:33.668848
22600000;2022-10-07T15:58:47.055015
22700000;2022-10-07T15:58:59.714375
22800000;2022-10-07T15:59:11.632251
22900000;2022-10-07T15:59:22.771734
23000000;2022-10-07T15:59:33.389014
23100000;2022-10-07T15:59:44.824112
23200000;2022-10-07T15:59:58.228673
23300000;2022-10-07T16:00:11.820512
23400000;2022-10-07T16:00:25.161172
23500000;2022-10-07T16:00:37.714116
23600000;2022-10-07T16:00:48.939082
23700000;2022-10-07T16:00:59.884203
23800000;2022-10-07T16:01:11.578374
23900000;2022-10-07T16:01:23.874618
24000000;2022-10-07T16:01:36.601792
24100000;2022-10-07T16:01:49.371387
24200000;2022-10-07T16:02:02.648560
24300000;2022-10-07T16:02:15.148120
24400000;2022-10-07T16:02:26.489889
24500000;2022-10-07T16:02:37.484961
24600000;2022-10-07T16:02:48.680789
24700000;2022-10-07T16:03:00.667034
24800000;2022-10-07T16:03:12.972395
24900000;2022-10-07T16:03:25.591684
25000000;2022-10-07T16:03:38.839819
25100000;2022-10-07T16:03:51.760355
25200000;2022-10-07T16:04:02.535751
25300000;2022-10-07T16:04:13.266320
25400000;2022-10-07T16:04:25.087796
25500000;2022-10-07T16:04:37.669827
25600000;2022-10-07T16:04:50.752716
25700000;2022-10-07T16:05:03.243806
25800000;2022-10-07T16:05:15.688006
25900000;2022-10-07T16:05:27.850917
26000000;2022-10-07T16:05:38.185788
26100000;2022-10-07T16:05:48.661440
26200000;2022-10-07T16:05:59.313032
26300000;2022-10-07T16:06:11.584132
26400000;2022-10-07T16:06:24.710622
26500000;2022-10-07T16:06:37.518858
26600000;2022-10-07T16:06:49.826844
26700000;2022-10-07T16:07:01.859840
26800000;2022-10-07T16:07:12.787976
26900000;2022-10-07T16:07:23.563345
27000000;2022-10-07T16:07:34.388159
27100000;2022-10-07T16:07:46.334471
27200000;2022-10-07T16:07:58.782561
27300000;2022-10-07T16:08:11.242641
27400000;2022-10-07T16:08:23.680800
27500000;2022-10-07T16:08:36.316015
27600000;2022-10-07T16:08:48.592507
27700000;2022-10-07T16:08:59.578130
27800000;2022-10-07T16:09:10.926670
27900000;2022-10-07T16:09:22.262112
28000000;2022-10-07T16:09:34.942524
28100000;2022-10-07T16:09:47.323910
28200000;2022-10-07T16:09:59.586076
28300000;2022-10-07T16:10:12.060861
28400000;2022-10-07T16:10:24.617054
28500000;2022-10-07T16:10:35.537505
28600000;2022-10-07T16:10:46.201581
28700000;2022-10-07T16:10:56.689474
28800000;2022-10-07T16:11:08.499207
28900000;2022-10-07T16:11:23.152254
29000000;2022-10-07T16:11:40.144121
29100000;2022-10-07T16:11:55.690339
29200000;2022-10-07T16:12:09.210719
29300000;2022-10-07T16:12:20.909729
29400000;2022-10-07T16:12:32.178672
29500000;2022-10-07T16:12:43.232131
29600000;2022-10-07T16:12:55.378870
29700000;2022-10-07T16:13:08.563453
29800000;2022-10-07T16:13:22.099410
29900000;2022-10-07T16:13:34.856133
30000000;2022-10-07T16:13:47.810274
30100000;2022-10-07T16:14:00.506655
30200000;2022-10-07T16:14:11.810303
30300000;2022-10-07T16:14:23.280123
30400000;2022-10-07T16:14:36.350716
30500000;2022-10-07T16:14:49.482628
30600000;2022-10-07T16:15:02.879493
30700000;2022-10-07T16:15:16.238680
30800000;2022-10-07T16:15:29.549469
30900000;2022-10-07T16:15:43.052074
31000000;2022-10-07T16:15:54.159730
31100000;2022-10-07T16:16:05.099405
31200000;2022-10-07T16:16:16.642271
31300000;2022-10-07T16:16:29.430687
31400000;2022-10-07T16:16:42.014815
31500000;2022-10-07T16:16:54.271886
31600000;2022-10-07T16:17:06.839485
31700000;2022-10-07T16:17:20.508672
31800000;2022-10-07T16:17:33.061521
31900000;2022-10-07T16:17:44.326885
32000000;2022-10-07T16:17:55.962444
32100000;2022-10-07T16:18:08.748255
32200000;2022-10-07T16:18:21.490180
32300000;2022-10-07T16:18:34.791779
32347011;2022-10-07T16:18:41.158129
